real,synth,fen,viewpoint
data/real/images_rot180/game6_frame_000036_rot180.jpg,data/synth/images/row000141_black_39bfca67.png,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,black
data/real/images_rot180/game6_frame_006760_rot180.jpg,data/synth/images/row000144_black_0557a86e.png,r7/pbpn2k1/1p1qp3/3p1pp1/3P4/2P1P3/PPQNBPPr/2KR3R,black
data/real/images_rot180/game6_frame_020160_rot180.jpg,data/synth/images/row000148_black_a10a5c6c.png,r7/p1pq2k1/1pb1pn2/3p1pN1/3P1Pp1/2PBP1P1/PPQ5/2K4R,black
data/real/images/game6_frame_031224.jpg,data/synth/images/row000154_white_1e7823ab.png,q7/3b2k1/4pn2/p2p1pN1/1pPP1Pp1/1P1BP1P1/1K2Q3/8,white
data/real/images/game6_frame_030460.jpg,data/synth/images/row000162_white_e7997812.png,7q/3b2k1/4pn2/pp1p1pN1/3P1Pp1/1PPBP1P1/1K2Q3/8,white
data/real/images_rot180/game6_frame_030592_rot180.jpg,data/synth/images/row000163_black_de31b9c8.png,7q/3b2k1/4pn2/p2p1pN1/1pPP1Pp1/1P1BP1P1/1K2Q3/8,black
data/real/images/game6_frame_032104.jpg,data/synth/images/row000169_white_e21415ca.png,8/3b2k1/4pn2/5pN1/ppBP1Pp1/1P2P1P1/6q1/QK6,white
data/real/images_rot180/game6_frame_000532_rot180.jpg,data/synth/images/row000176_black_040ce4fe.png,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR,black
data/real/images/game6_frame_021964.jpg,data/synth/images/row000178_white_d09e3d2d.png,8/p1pq2k1/1pb1pn2/3p1pN1/3P1Pp1/1PPBP1P1/P6Q/2K5,white
data/real/images_rot180/game6_frame_002260_rot180.jpg,data/synth/images/row000188_black_1d6e1b9a.png,rn1q1rk1/pbp3pp/1p1bpp2/3p4/3Pn2B/2PBPN2/PPQN1PPP/R3K2R,black
data/real/images/game6_frame_032060.jpg,data/synth/images/row000196_white_d975e502.png,q7/3b2k1/4pn2/5pN1/ppBP1Pp1/1P2P1P1/1K6/Q7,white
data/real/images/game6_frame_004400.jpg,data/synth/images/row000202_white_787d5a37.png,rn1q1r1k/pbp4B/1p1bpp2/3p2p1/3P4/2P1P1B1/PPQN1PPP/R3K2R,white
data/real/images_rot180/game6_frame_000600_rot180.jpg,data/synth/images/row000217_black_1640b27f.png,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR,black
data/real/images/game6_frame_005236.jpg,data/synth/images/row000231_white_2879e002.png,rn3r1k/pbp5/1p1qp1B1/3p1pp1/3P4/2P1P3/PPQN1PPP/R3K2R,white
data/real/images/game6_frame_001060.jpg,data/synth/images/row000250_white_5ddfc7f8.png,rn1qk2r/pbp2ppp/1p1bpn2/3p4/3P4/2P1PNB1/PP1N1PPP/R2QKB1R,white
data/real/images_rot180/game6_frame_027448_rot180.jpg,data/synth/images/row000251_black_7c4a429d.png,4q3/3b2k1/1pp1pn2/p2p1pN1/P2P1PpQ/1PPBP1P1/1K6/8,black
data/real/images_rot180/game6_frame_028008_rot180.jpg,data/synth/images/row000253_black_e7ca0714.png,4q3/3b2k1/1pp1pn2/p2p1pN1/P2P1Pp1/1PPBP1P1/1K5Q/8,black
data/real/images/game6_frame_020508.jpg,data/synth/images/row000267_white_73692208.png,7r/p1pq2k1/1pb1pn2/3p1pN1/3P1Pp1/2PBP1P1/PPQ5/2K4R,white
data/real/images/game6_frame_006500.jpg,data/synth/images/row000272_white_20e5aa2f.png,rn6/pbp3k1/1p1qp3/3p1pp1/3P4/2P1P3/PPQNBPPr/2KR3R,white
data/real/images/game6_frame_008088.jpg,data/synth/images/row000273_white_8660d639.png,r7/pbpn2k1/1p1qp3/3p1pp1/3P4/2P1PN2/PPQ1BPP1/2K4R,white
data/real/images_rot180/game6_frame_029012_rot180.jpg,data/synth/images/row000281_black_3ebcaee9.png,7q/3b2k1/2p1pn2/pp1p1pN1/P2P1Pp1/1PPBP1P1/1K4Q1/8,black
data/real/images/game6_frame_031880.jpg,data/synth/images/row000285_white_1bf6aadd.png,q7/3b2k1/4pn2/5pN1/pppP1Pp1/1P1BP1P1/1K6/Q7,white
data/real/images_rot180/game6_frame_020564_rot180.jpg,data/synth/images/row000292_black_b4933caf.png,7k/p1pq4/1pb1pn2/3p1pN1/3P1Pp1/2PBP1P1/PP5Q/2K5,black
data/real/images_rot180/game6_frame_001252_rot180.jpg,data/synth/images/row000294_black_f31bdd66.png,rn1q1rk1/pbp2ppp/1p1bp3/3p4/3Pn3/2PBPNB1/PP1N1PPP/R2QK2R,black
data/real/images_rot180/game6_frame_023748_rot180.jpg,data/synth/images/row000297_black_b2cbfed8.png,4q3/2pb2k1/1p2pn2/p2p1pN1/3P1Pp1/1PPBP1P1/PK2Q3/8,black
data/real/images/game6_frame_022716.jpg,data/synth/images/row000301_white_3eb046ae.png,4q3/p1pb2k1/1p2pn2/3p1pN1/3P1Pp1/1PPBP1P1/PK5Q/8,white
data/real/images_rot180/game6_frame_033372_rot180.jpg,data/synth/images/row000306_black_6aee9d5a.png,8/3b2k1/4pn2/5pN1/1pBP1Pp1/pP4P1/3q4/1K5Q,black
data/real/images/game6_frame_033252.jpg,data/synth/images/row000309_white_97cd6ee8.png,8/3b2k1/4pn2/5pN1/ppBP1Pp1/1P4P1/3q4/1K5Q,white
data/real/images/game6_frame_024012.jpg,data/synth/images/row000312_white_5386dc32.png,4q3/2pb2k1/1p2pn2/p2p1pN1/P2P1Pp1/1PPBP1P1/1K2Q3/8,white
data/real/images/game6_frame_009844.jpg,data/synth/images/row000313_white_2db9934d.png,r7/pbpn2k1/1p1qp3/3p1pN1/3P2p1/2P1P3/PPQ1BPP1/2K4R,white
data/real/images_rot180/game6_frame_001680_rot180.jpg,data/synth/images/row000315_black_a64113bb.png,rn1q1rk1/pbp2ppp/1p1bp3/3p4/3Pn2B/2PBPN2/PP1N1PPP/R2QK2R,black
data/real/images/game6_frame_022164.jpg,data/synth/images/row000320_white_f022f3eb.png,4q3/p1p3k1/1pb1pn2/3p1pN1/3P1Pp1/1PPBP1P1/P6Q/2K5,white
data/real/images/game6_frame_004768.jpg,data/synth/images/row000331_white_57c6ec94.png,rn1q1r1k/pbp4B/1p1Bp3/3p1pp1/3P4/2P1P3/PPQN1PPP/R3K2R,white
data/real/images_rot180/game6_frame_032224_rot180.jpg,data/synth/images/row000337_black_442ad489.png,8/3b2k1/4pn2/5pN1/ppBP1Pp1/1P2P1P1/K7/Q5q1,black
data/real/images_rot180/game6_frame_031792_rot180.jpg,data/synth/images/row000351_black_d10b617b.png,q7/3b2k1/4pn2/3p1pN1/ppPP1Pp1/1P1BP1P1/1K6/Q7,black
data/real/images/game6_frame_028320.jpg,data/synth/images/row000356_white_a3902356.png,7q/3b2k1/1pp1pn2/p2p1pN1/P2P1Pp1/1PPBP1P1/1K5Q/8,white
data/real/images/game6_frame_000824.jpg,data/synth/images/row000366_white_7d8ef37a.png,rnbqk2r/ppp2ppp/3bpn2/3p4/3P4/4P1B1/PPPN1PPP/R2QKBNR,white
data/real/images_rot180/game6_frame_028904_rot180.jpg,data/synth/images/row000372_black_fa61d3a9.png,7q/3b2k1/1pp1pn2/p2p1pN1/P2P1Pp1/1PPBP1P1/1K4Q1/8,black
data/real/images/game6_frame_000960.jpg,data/synth/images/row000374_white_cf64b814.png,rnbqk2r/p1p2ppp/1p1bpn2/3p4/3P4/4P1B1/PPPN1PPP/R2QKBNR,white
data/real/images_rot180/game6_frame_024520_rot180.jpg,data/synth/images/row000390_black_7d771dde.png,4q3/2pb2k1/1p2p3/p2p1pNn/P2P1Pp1/1PPBP1P1/1K2Q3/8,black
data/real/images_rot180/game6_frame_005300_rot180.jpg,data/synth/images/row000394_black_34beac42.png,rn3r2/pbp3k1/1p1qp1B1/3p1pp1/3P4/2P1P3/PPQN1PPP/R3K2R,black
data/real/images_rot180/game6_frame_032968_rot180.jpg,data/synth/images/row000408_black_45e94266.png,8/3b2k1/4pn2/5pN1/ppBP1Pp1/1P4P1/K2q4/7Q,black
data/real/images_rot180/game6_frame_032440_rot180.jpg,data/synth/images/row000436_black_31954f14.png,8/3b2k1/4pn2/5pN1/ppBP1Pp1/1P2q1P1/K7/Q7,black
data/real/images/game6_frame_016936.jpg,data/synth/images/row000458_white_627dd8f8.png,r7/p1p3k1/1pbqpn2/3p1pN1/3P1Pp1/2P1P3/PPQ1B1P1/2K4R,white
data/real/images_rot180/game6_frame_024952_rot180.jpg,data/synth/images/row000462_black_f10b3c92.png,4q3/2pb2k1/1p2p3/p2p1pNn/P2P1Pp1/1PPBP1P1/1K5Q/8,black
data/real/images_rot180/game6_frame_004184_rot180.jpg,data/synth/images/row000463_black_c947e93d.png,rn1q1r1k/pbp4B/1p1bpp2/3p2p1/3P3B/2P1P3/PPQN1PPP/R3K2R,black
data/real/images_rot180/game6_frame_001024_rot180.jpg,data/synth/images/row000010_black_5fed5921.png,rnbqk2r/p1p2ppp/1p1bpn2/3p4/3P4/2P1P1B1/PP1N1PPP/R2QKBNR,black
data/real/images_rot180/game6_frame_005196_rot180.jpg,data/synth/images/row000017_black_5100aa01.png,rn3r1k/pbp4B/1p1qp3/3p1pp1/3P4/2P1P3/PPQN1PPP/R3K2R,black
data/real/images_rot180/game6_frame_005360_rot180.jpg,data/synth/images/row000023_black_2d07c7a8.png,rn3r2/pbp3k1/1p1qp3/3p1ppB/3P4/2P1P3/PPQN1PPP/R3K2R,black
data/real/images_rot180/game6_frame_025332_rot180.jpg,data/synth/images/row000024_black_102ea0ff.png,4q3/3b2k1/1pp1p3/p2p1pNn/P2P1Pp1/1PPBP1P1/1K5Q/8,black
data/real/images/game6_frame_000636.jpg,data/synth/images/row000040_white_7891ecc4.png,rnbqkbnr/ppp2ppp/4p3/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR,white
data/real/images/game6_frame_003904.jpg,data/synth/images/row000044_white_1ff939b3.png,rn1q1r1k/pbp3pB/1p1bpp2/3p4/3P3B/2P1P3/PPQN1PPP/R3K2R,white
data/real/images_rot180/game6_frame_006112_rot180.jpg,data/synth/images/row000046_black_452f7408.png,rn5r/pbp3k1/1p1qp3/3p1pp1/3P4/2P1P3/PPQNBPPP/R3K2R,black
data/real/images/game4_frame_001396.jpg,data/synth/images/row000001_white_81496acc.png,r2qkb1r/pp2pppp/2n1b3/3nP3/2B5/5N2/PP3PPP/RNBQ1RK1,white
data/real/images_rot180/game4_frame_018052_rot180.jpg,data/synth/images/row000002_black_91be52ca.png,5b2/pR2ppkp/6p1/r2NP3/8/6P1/5P1P/6K1,black
data/real/images_rot180/game4_frame_024584_rot180.jpg,data/synth/images/row000005_black_c3e36e4c.png,3N2k1/7p/6p1/p1b5/4R3/6P1/2r2P1P/5K2,black
data/real/images/game4_frame_023508.jpg,data/synth/images/row000007_white_0696ee3c.png,3N1bk1/5R1p/6p1/p7/8/6P1/2r2P1P/5K2,white
data/real/images/game4_frame_037180.jpg,data/synth/images/row000012_white_f0d91bf2.png,8/4k3/4N3/3K2P1/5P2/4R3/8/7r,white
data/real/images/game4_frame_034136.jpg,data/synth/images/row000013_white_d4112769.png,8/7k/8/7p/R4N2/p5P1/1b3PKP/r7,white
data/real/images/game4_frame_012880.jpg,data/synth/images/row000014_white_c7332f67.png,1r3rk1/p3ppbp/6p1/4P3/2nB4/4R3/P2N1PPP/1R4K1,white
data/real/images/game4_frame_030952.jpg,data/synth/images/row000016_white_0dbe8f87.png,R5k1/8/6p1/7p/p4N2/2b3P1/r4P1P/5K2,white
data/real/images/game4_frame_018432.jpg,data/synth/images/row000017_white_18dc6e5f.png,5b2/pR2Npkp/6p1/4r3/8/6P1/5P1P/6K1,white
data/real/images_rot180/game4_frame_020140_rot180.jpg,data/synth/images/row000021_black_ff39633a.png,3N1b2/pR3pkp/6p1/8/8/6P1/2r2P1P/5K2,black
data/real/images/game4_frame_014504.jpg,data/synth/images/row000022_white_9bd6d416.png,1R3bk1/p3pp1p/6p1/4P3/3r4/4N3/P4PPP/6K1,white
data/real/images/game4_frame_000964.jpg,data/synth/images/row000030_white_8c7fa359.png,r1bqkb1r/pp2pppp/2n5/3nP3/2B5/5N2/PP3PPP/RNBQK2R,white
data/real/images_rot180/game4_frame_027112_rot180.jpg,data/synth/images/row000031_black_2cb3a404.png,6k1/8/3bN1p1/p6p/5R2/6P1/2r2P1P/5K2,black
data/real/images/game4_frame_010588.jpg,data/synth/images/row000033_white_23e457a4.png,1r1q1rk1/p3ppbp/6p1/2n1P3/3Q4/2B5/PP1N1PPP/R3R1K1,white
data/real/images/game4_frame_006856.jpg,data/synth/images/row000038_white_dbb06cfd.png,r2q1rk1/p3ppbp/6p1/4P3/3nQ3/8/PP1B1PPP/RN2R1K1,white
data/real/images_rot180/game4_frame_015972_rot180.jpg,data/synth/images/row000044_black_c8f03a55.png,1R3bk1/p3pp1p/6p1/3NP3/8/6P1/r4P1P/6K1,black
data/real/images/game4_frame_014464.jpg,data/synth/images/row000045_white_833784c8.png,1R4k1/p3ppbp/6p1/4P3/2Nr4/8/P4PPP/6K1,white
data/real/images/game4_frame_023452.jpg,data/synth/images/row000048_white_df41c5fc.png,3N1b2/5Rkp/6p1/p7/8/6P1/2r2P1P/5K2,white
data/real/images/game4_frame_013352.jpg,data/synth/images/row000052_white_b1039ec5.png,1r4k1/p3ppbp/6p1/4P3/2nB4/1R6/P2N1PPP/6K1,white
data/real/images_rot180/game4_frame_034268_rot180.jpg,data/synth/images/row000055_black_811c6f6a.png,8/7k/8/7N/R7/p5P1/1b3PKP/3r4,black
data/real/images/game4_frame_011668.jpg,data/synth/images/row000056_white_689c58da.png,1r1q1rk1/p3ppbp/6p1/4P3/3Q4/2BnR3/PP1N1PPP/R5K1,white
data/real/images/game4_frame_004284.jpg,data/synth/images/row000059_white_d8989998.png,r2q1rk1/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP1B1PPP/RN2R1K1,white
data/real/images_rot180/game4_frame_003748_rot180.jpg,data/synth/images/row000064_black_f696379c.png,r2q1rk1/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB1R1K1,black
data/real/images/game4_frame_029056.jpg,data/synth/images/row000066_white_59298bfd.png,6k1/8/6p1/p2R3p/5N2/2b3P1/2r2P1P/5K2,white
data/real/images/game4_frame_037040.jpg,data/synth/images/row000075_white_66c79418.png,R7/8/4Nk2/3K2P1/5P1r/p7/8/8,white
data/real/images/game4_frame_000848.jpg,data/synth/images/row000077_white_09c731b7.png,rnbqkb1r/pp2pppp/3p4/3nP3/3P4/5N2/PP3PPP/RNBQKB1R,white
data/real/images/game4_frame_030232.jpg,data/synth/images/row000078_white_20382515.png,6k1/R7/6p1/7p/p4N2/2b3P1/r4P1P/5K2,white
data/real/images/game4_frame_028412.jpg,data/synth/images/row000083_white_860931d1.png,6k1/8/4N1p1/p2R3p/8/2b3P1/2r2P1P/5K2,white
data/real/images_rot180/game4_frame_037264_rot180.jpg,data/synth/images/row000086_black_67c910e6.png,8/4k3/4N3/4K1P1/5P2/4R3/8/r7,black
data/real/images_rot180/game4_frame_027984_rot180.jpg,data/synth/images/row000091_black_05848fd9.png,6k1/8/4N1p1/p3b2p/3R4/6P1/2r2P1P/5K2,black
data/real/images_rot180/game4_frame_000892_rot180.jpg,data/synth/images/row000093_black_93bfff50.png,r1bqkb1r/pp2pppp/2np4/3nP3/2BP4/5N2/PP3PPP/RNBQK2R,black
data/real/images_rot180/game4_frame_032808_rot180.jpg,data/synth/images/row000096_black_2b1f79e0.png,8/7k/R7/7p/3b1N2/p5P1/5PKP/r7,black
data/real/images/game4_frame_037504.jpg,data/synth/images/row000099_white_f9919090.png,8/4k3/4N3/4RKP1/5P2/8/8/r7,white
data/real/images/game4_frame_014060.jpg,data/synth/images/row000100_white_7477d47c.png,3r2k1/p3ppbp/6p1/4P3/2nB4/1R6/P2N1PPP/6K1,white
data/real/images/game4_frame_013316.jpg,data/synth/images/row000103_white_e0198997.png,1r4k1/p3ppbp/6p1/4P3/2nB4/4R3/P2N1PPP/6K1,white
data/real/images/game4_frame_038832.jpg,data/synth/images/row000106_white_dd2c2ff2.png,4k1N1/7R/5K2/5P2/8/8/8/8,white
data/real/images_rot180/game4_frame_005968_rot180.jpg,data/synth/images/row000114_black_1b3a093f.png,r2q1rk1/pQ2ppbp/2n1n1p1/4P3/8/5N2/PP1B1PPP/RN2R1K1,black
data/real/images/game4_frame_037076.jpg,data/synth/images/row000117_white_52527570.png,R7/4k3/4N3/3K2P1/5P1r/p7/8/8,white
data/real/images_rot180/game4_frame_036484_rot180.jpg,data/synth/images/row000123_black_70f02d71.png,R4bk1/8/8/8/4KPPP/p2N4/2r5/8,black
data/real/images/game4_frame_037128.jpg,data/synth/images/row000124_white_50d2e621.png,8/4k3/4N3/3K2P1/5P2/R7/8/7r,white
data/real/images/game4_frame_038044.jpg,data/synth/images/row000133_white_b6c74a69.png,1r4k1/4R3/6P1/5NK1/5P2/8/8/8,white
data/real/images/game4_frame_011104.jpg,data/synth/images/row000140_white_1d8d33d3.png,1r1q1rk1/p3ppbp/6p1/4P3/3Q4/2Bn4/PP1N1PPP/R3R1K1,white
data/real/images/game4_frame_038276.jpg,data/synth/images/row000143_white_a1373447.png,1r2k3/7R/6PN/6K1/5P2/8/8/8,white
data/real/images/game4_frame_030000.jpg,data/synth/images/row000149_white_8ea8d6c5.png,R7/5k2/6p1/7p/p4N2/2b3P1/r4P1P/5K2,white
data/real/images_rot180/game4_frame_035020_rot180.jpg,data/synth/images/row000161_black_90273142.png,8/7k/8/8/R4N1P/p5P1/1b1r1PK1/8,black
data/real/images_rot180/game4_frame_008820_rot180.jpg,data/synth/images/row000166_black_7b86dd04.png,1r1q1rk1/p3ppbp/6p1/4P3/3nQ3/2B5/PP3PPP/RN2R1K1,black
data/real/images/game4_frame_034392.jpg,data/synth/images/row000174_white_44b11459.png,8/7k/8/8/R4N2/p5P1/1b3PKP/3r4,white
data/real/images_rot180/game4_frame_003232_rot180.jpg,data/synth/images/row000175_black_d20b5e0f.png,r2qk2r/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB1R1K1,black
data/real/images/game4_frame_009148.jpg,data/synth/images/row000177_white_dfeba2aa.png,1r1q1rk1/p3ppbp/4n1p1/4P3/4Q3/2B5/PP1N1PPP/R3R1K1,white
data/real/images/game4_frame_037220.jpg,data/synth/images/row000180_white_c97c463d.png,8/4k3/4N3/4K1P1/5P2/4R3/8/3r4,white
data/real/images_rot180/game4_frame_037740_rot180.jpg,data/synth/images/row000184_black_e76afdbe.png,r5k1/8/4RKP1/8/3N1P2/8/8/8,black
data/real/images_rot180/game4_frame_036580_rot180.jpg,data/synth/images/row000187_black_bdf7f1f7.png,R4bk1/8/8/3K4/5PPP/p1rN4/8/8,black
data/real/images/game4_frame_036424.jpg,data/synth/images/row000189_white_e95530fb.png,5bk1/R7/8/8/4KPPP/p2N4/2r5/8,white
data/real/images_rot180/game4_frame_009404_rot180.jpg,data/synth/images/row000191_black_457f415f.png,1r1q1rk1/p3ppbp/6p1/2n1P3/4Q3/2B5/PP1N1PPP/R3R1K1,black
data/real/images_rot180/game4_frame_031880_rot180.jpg,data/synth/images/row000201_black_bea92f14.png,8/8/R5pk/7p/p4N2/2b3P1/r4P1P/5K2,black
data/real/images/game4_frame_037340.jpg,data/synth/images/row000204_white_c3b91cec.png,8/4k3/4N3/5KP1/5P2/4R3/8/r7,white
data/real/images_rot180/game4_frame_032288_rot180.jpg,data/synth/images/row000207_black_a959b2da.png,8/7k/R7/7p/5N2/p1b3P1/r4P1P/5K2,black
data/real/images_rot180/game4_frame_038480_rot180.jpg,data/synth/images/row000209_black_2a91f866.png,4k3/6PR/5K1N/5P2/8/8/8/6r1,black
data/real/images_rot180/game4_frame_037108_rot180.jpg,data/synth/images/row000212_black_7a98dcf8.png,8/4k3/4N3/3K2P1/5P1r/R7/8/8,black
data/real/images/game4_frame_031008.jpg,data/synth/images/row000213_white_f8fc022e.png,R7/7k/6p1/7p/p4N2/2b3P1/r4P1P/5K2,white
data/real/images_rot180/game4_frame_036812_rot180.jpg,data/synth/images/row000214_black_91bb1255.png,R4N2/6k1/8/3K4/5PPP/p6r/8/8,black
data/real/images_rot180/game4_frame_036652_rot180.jpg,data/synth/images/row000224_black_f0b74f79.png,R4bk1/8/8/3KN3/5PPP/p1r5/8/8,black
data/real/images/game4_frame_023540.jpg,data/synth/images/row000225_white_c8f83070.png,3N1bk1/7p/6p1/p7/5R2/6P1/2r2P1P/5K2,white
data/real/images/game4_frame_031912.jpg,data/synth/images/row000234_white_b774d032.png,8/8/R5pk/7p/5N2/p1b3P1/r4P1P/5K2,white
data/real/images_rot180/game4_frame_031432_rot180.jpg,data/synth/images/row000235_black_c1659147.png,8/R7/6pk/7p/p4N2/2b3P1/r4P1P/5K2,black
data/real/images_rot180/game4_frame_000028_rot180.jpg,data/synth/images/row000236_black_39bfca67.png,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,black
data/real/images/game4_frame_006656.jpg,data/synth/images/row000239_white_b478364e.png,r2q1rk1/pQ2ppbp/4n1p1/4P3/3N4/8/PP1B1PPP/RN2R1K1,white
data/real/images_rot180/game4_frame_035720_rot180.jpg,data/synth/images/row000241_black_973aaa5d.png,8/7k/8/8/R3K2P/p1rN2P1/5P2/2b5,black
data/real/images_rot180/game4_frame_037528_rot180.jpg,data/synth/images/row000242_black_d26eb988.png,8/4k3/8/4RKP1/3N1P2/8/8/r7,black
data/real/images/game4_frame_037940.jpg,data/synth/images/row000243_white_64579922.png,r5k1/4R3/6P1/5NK1/5P2/8/8/8,white
data/real/images/game4_frame_038872.jpg,data/synth/images/row000246_white_00508b00.png,5kN1/7R/4K3/5P2/8/8/8/8,white
data/real/images/game4_frame_035212.jpg,data/synth/images/row000255_white_0ebcd4e3.png,8/7k/8/8/R4N1P/p4KP1/3r1P2/2b5,white
data/real/images_rot180/game4_frame_015864_rot180.jpg,data/synth/images/row000257_black_eef58ccc.png,1R3bk1/p3pp1p/6p1/4P3/r7/4N1P1/P4P1P/6K1,black
data/real/images/game4_frame_006504.jpg,data/synth/images/row000259_white_88b7b186.png,r2q1rk1/pQ2ppbp/4n1p1/4P3/3n4/5N2/PP1B1PPP/RN2R1K1,white
data/real/images/game4_frame_032400.jpg,data/synth/images/row000265_white_26391c02.png,8/7k/R7/7p/5N2/p1b3P1/5PKP/r7,white
data/real/images/game4_frame_015216.jpg,data/synth/images/row000270_white_c0c571df.png,1R3bk1/p3pp1p/6p1/4P3/r7/4N3/P4PPP/6K1,white
data/real/images/game4_frame_037820.jpg,data/synth/images/row000274_white_939e8c54.png,5rk1/8/4RKP1/5N2/5P2/8/8/8,white
data/real/images_rot180/game4_frame_018844_rot180.jpg,data/synth/images/row000276_black_a54cbdd6.png,5b2/pR3pkp/2N3p1/4r3/8/6P1/5P1P/6K1,black
data/real/images_rot180/game4_frame_027056_rot180.jpg,data/synth/images/row000284_black_f45f5ad5.png,6k1/8/4N1p1/p1b4p/5R2/6P1/2r2P1P/5K2,black
data/real/images_rot180/game4_frame_007992_rot180.jpg,data/synth/images/row000296_black_8001b931.png,1r1q1rk1/p3ppbp/6p1/4P3/3nQ3/8/PP1B1PPP/RN2R1K1,black
data/real/images_rot180/game4_frame_035924_rot180.jpg,data/synth/images/row000300_black_a25b73b7.png,8/7k/7b/8/R3KP1P/p1rN2P1/8/8,black
