path,action,moved_to
data\chessred2k_rect_pov\real_ok\g22_m0003_img0002711_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g22_m0003_img0002711_wpov.png
data\chessred2k_rect_pov\real_ok\g22_m0004_img0002712_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g22_m0004_img0002712_wpov.png
data\chessred2k_rect_pov\real_ok\g22_m0010_img0002718_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0012_img0002720_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g22_m0012_img0002720_wpov.png
data\chessred2k_rect_pov\real_ok\g22_m0013_img0002721_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0016_img0002724_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0019_img0002727_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0022_img0002730_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0023_img0002731_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0030_img0002738_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g22_m0030_img0002738_wpov.png
data\chessred2k_rect_pov\real_ok\g22_m0033_img0002741_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0036_img0002744_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0038_img0002746_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0046_img0002754_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g22_m0046_img0002754_wpov.png
data\chessred2k_rect_pov\real_ok\g22_m0048_img0002756_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0067_img0002775_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g22_m0067_img0002775_wpov.png
data\chessred2k_rect_pov\real_ok\g22_m0068_img0002776_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g22_m0068_img0002776_wpov.png
data\chessred2k_rect_pov\real_ok\g22_m0069_img0002777_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g22_m0069_img0002777_wpov.png
data\chessred2k_rect_pov\real_ok\g22_m0072_img0002780_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g22_m0072_img0002780_wpov.png
data\chessred2k_rect_pov\real_ok\g22_m0075_img0002783_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g22_m0075_img0002783_wpov.png
data\chessred2k_rect_pov\real_ok\g22_m0085_img0002793_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g22_m0085_img0002793_wpov.png
data\chessred2k_rect_pov\real_ok\g22_m0090_img0002798_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0093_img0002801_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0095_img0002803_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0096_img0002804_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0098_img0002806_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g22_m0101_img0002809_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g28_m0001_img0003371_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g28_m0002_img0003372_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g28_m0002_img0003372_wpov.png
data\chessred2k_rect_pov\real_ok\g28_m0009_img0003379_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g28_m0009_img0003379_wpov.png
data\chessred2k_rect_pov\real_ok\g28_m0010_img0003380_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g28_m0017_img0003387_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g28_m0021_img0003391_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g28_m0021_img0003391_wpov.png
data\chessred2k_rect_pov\real_ok\g28_m0022_img0003392_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g28_m0025_img0003395_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g28_m0029_img0003399_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g28_m0029_img0003399_wpov.png
data\chessred2k_rect_pov\real_ok\g28_m0038_img0003408_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g28_m0038_img0003408_wpov.png
data\chessred2k_rect_pov\real_ok\g28_m0039_img0003409_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g28_m0040_img0003410_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g28_m0062_img0003432_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g28_m0062_img0003432_wpov.png
data\chessred2k_rect_pov\real_ok\g28_m0063_img0003433_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g28_m0066_img0003436_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g28_m0066_img0003436_wpov.png
data\chessred2k_rect_pov\real_ok\g28_m0067_img0003437_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g28_m0067_img0003437_wpov.png
data\chessred2k_rect_pov\real_ok\g28_m0075_img0003445_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g28_m0075_img0003445_wpov.png
data\chessred2k_rect_pov\real_ok\g28_m0089_img0003459_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g28_m0089_img0003459_wpov.png
data\chessred2k_rect_pov\real_ok\g28_m0090_img0003460_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g28_m0090_img0003460_wpov.png
data\chessred2k_rect_pov\real_ok\g28_m0093_img0003463_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g28_m0094_img0003464_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g28_m0094_img0003464_wpov.png
data\chessred2k_rect_pov\real_ok\g28_m0096_img0003466_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g28_m0096_img0003466_wpov.png
data\chessred2k_rect_pov\real_ok\g28_m0099_img0003469_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0000_img0004431_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0011_img0004442_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0019_img0004450_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0020_img0004451_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0022_img0004453_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0023_img0004454_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0026_img0004457_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0028_img0004459_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0029_img0004460_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0032_img0004463_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g38_m0032_img0004463_wpov.png
data\chessred2k_rect_pov\real_ok\g38_m0033_img0004464_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0035_img0004466_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0037_img0004468_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0038_img0004469_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0039_img0004470_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0040_img0004471_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0041_img0004472_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0043_img0004474_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0044_img0004475_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0045_img0004476_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0047_img0004478_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0048_img0004479_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0049_img0004480_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0050_img0004481_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0052_img0004483_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0054_img0004485_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0055_img0004486_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g38_m0055_img0004486_wpov.png
data\chessred2k_rect_pov\real_ok\g38_m0056_img0004487_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0058_img0004489_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0059_img0004490_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g38_m0059_img0004490_wpov.png
data\chessred2k_rect_pov\real_ok\g38_m0060_img0004491_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g38_m0060_img0004491_wpov.png
data\chessred2k_rect_pov\real_ok\g38_m0062_img0004493_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0065_img0004496_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0067_img0004498_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g38_m0067_img0004498_wpov.png
data\chessred2k_rect_pov\real_ok\g38_m0072_img0004503_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0074_img0004505_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0076_img0004507_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g38_m0076_img0004507_wpov.png
data\chessred2k_rect_pov\real_ok\g38_m0078_img0004509_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0081_img0004512_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0082_img0004513_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0083_img0004514_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0085_img0004516_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0087_img0004518_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g38_m0087_img0004518_wpov.png
data\chessred2k_rect_pov\real_ok\g38_m0088_img0004519_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g38_m0088_img0004519_wpov.png
data\chessred2k_rect_pov\real_ok\g38_m0091_img0004522_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g38_m0091_img0004522_wpov.png
data\chessred2k_rect_pov\real_ok\g38_m0093_img0004524_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g38_m0093_img0004524_wpov.png
data\chessred2k_rect_pov\real_ok\g38_m0094_img0004525_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0096_img0004527_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0097_img0004528_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0098_img0004529_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0101_img0004532_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g38_m0101_img0004532_wpov.png
data\chessred2k_rect_pov\real_ok\g38_m0103_img0004534_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g38_m0105_img0004536_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0000_img0004758_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g41_m0000_img0004758_bpov.png
data\chessred2k_rect_pov\real_ok\g41_m0001_img0004759_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0002_img0004760_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0005_img0004763_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g41_m0005_img0004763_bpov.png
data\chessred2k_rect_pov\real_ok\g41_m0008_img0004766_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g41_m0008_img0004766_bpov.png
data\chessred2k_rect_pov\real_ok\g41_m0011_img0004769_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0012_img0004770_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0013_img0004771_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0014_img0004772_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0015_img0004773_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0016_img0004774_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0022_img0004780_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0023_img0004781_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0024_img0004782_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0027_img0004785_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0029_img0004787_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0030_img0004788_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0032_img0004790_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0034_img0004792_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0037_img0004795_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0039_img0004797_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g41_m0039_img0004797_bpov.png
data\chessred2k_rect_pov\real_ok\g41_m0042_img0004800_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0045_img0004803_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0047_img0004805_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0048_img0004806_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0051_img0004809_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g41_m0051_img0004809_bpov.png
data\chessred2k_rect_pov\real_ok\g41_m0052_img0004810_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0055_img0004813_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0056_img0004814_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0057_img0004815_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g41_m0057_img0004815_bpov.png
data\chessred2k_rect_pov\real_ok\g41_m0060_img0004818_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0061_img0004819_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0062_img0004820_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0064_img0004822_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0065_img0004823_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0066_img0004824_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g41_m0066_img0004824_bpov.png
data\chessred2k_rect_pov\real_ok\g41_m0070_img0004828_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g41_m0070_img0004828_bpov.png
data\chessred2k_rect_pov\real_ok\g41_m0073_img0004831_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0074_img0004832_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0075_img0004833_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0076_img0004834_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0078_img0004836_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0079_img0004837_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0081_img0004839_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g41_m0081_img0004839_bpov.png
data\chessred2k_rect_pov\real_ok\g41_m0086_img0004844_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0089_img0004847_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g41_m0089_img0004847_bpov.png
data\chessred2k_rect_pov\real_ok\g41_m0090_img0004848_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0091_img0004849_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0097_img0004855_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0098_img0004856_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g41_m0101_img0004859_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0000_img0004860_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g42_m0000_img0004860_wpov.png
data\chessred2k_rect_pov\real_ok\g42_m0006_img0004866_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g42_m0006_img0004866_wpov.png
data\chessred2k_rect_pov\real_ok\g42_m0015_img0004875_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g42_m0015_img0004875_wpov.png
data\chessred2k_rect_pov\real_ok\g42_m0017_img0004877_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g42_m0017_img0004877_wpov.png
data\chessred2k_rect_pov\real_ok\g42_m0019_img0004879_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g42_m0019_img0004879_wpov.png
data\chessred2k_rect_pov\real_ok\g42_m0024_img0004884_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0026_img0004886_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g42_m0026_img0004886_wpov.png
data\chessred2k_rect_pov\real_ok\g42_m0028_img0004888_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0030_img0004890_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g42_m0030_img0004890_wpov.png
data\chessred2k_rect_pov\real_ok\g42_m0033_img0004893_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0034_img0004894_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0035_img0004895_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0036_img0004896_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0038_img0004898_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0041_img0004901_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0044_img0004904_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0046_img0004906_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0049_img0004909_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0052_img0004912_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g42_m0052_img0004912_wpov.png
data\chessred2k_rect_pov\real_ok\g42_m0053_img0004913_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0055_img0004915_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0057_img0004917_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g42_m0057_img0004917_wpov.png
data\chessred2k_rect_pov\real_ok\g42_m0062_img0004922_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0064_img0004924_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0065_img0004925_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0066_img0004926_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0067_img0004927_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0069_img0004929_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0070_img0004930_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0071_img0004931_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0072_img0004932_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0074_img0004934_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0081_img0004941_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g42_m0082_img0004942_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g42_m0082_img0004942_wpov.png
data\chessred2k_rect_pov\real_ok\g42_m0086_img0004946_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g42_m0086_img0004946_wpov.png
data\chessred2k_rect_pov\real_ok\g42_m0087_img0004947_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0004_img0006341_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0006_img0006343_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g56_m0006_img0006343_wpov.png
data\chessred2k_rect_pov\real_ok\g56_m0009_img0006346_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0010_img0006347_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0011_img0006348_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0013_img0006350_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0016_img0006353_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0017_img0006354_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0020_img0006357_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0021_img0006358_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g56_m0021_img0006358_wpov.png
data\chessred2k_rect_pov\real_ok\g56_m0023_img0006360_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g56_m0023_img0006360_wpov.png
data\chessred2k_rect_pov\real_ok\g56_m0026_img0006363_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0027_img0006364_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0028_img0006365_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0030_img0006367_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0031_img0006368_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0032_img0006369_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0035_img0006372_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g56_m0035_img0006372_wpov.png
data\chessred2k_rect_pov\real_ok\g56_m0037_img0006374_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0038_img0006375_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0039_img0006376_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g56_m0039_img0006376_wpov.png
data\chessred2k_rect_pov\real_ok\g56_m0041_img0006378_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g56_m0041_img0006378_wpov.png
data\chessred2k_rect_pov\real_ok\g56_m0045_img0006382_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0046_img0006383_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0048_img0006385_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0051_img0006388_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0052_img0006389_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0056_img0006393_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0057_img0006394_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0058_img0006395_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0063_img0006400_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0066_img0006403_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0067_img0006404_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0069_img0006406_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g56_m0069_img0006406_wpov.png
data\chessred2k_rect_pov\real_ok\g56_m0071_img0006408_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0073_img0006410_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0076_img0006413_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0077_img0006414_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0078_img0006415_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0079_img0006416_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0082_img0006419_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0083_img0006420_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0085_img0006422_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0087_img0006424_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0089_img0006426_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0090_img0006427_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0093_img0006430_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0094_img0006431_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0095_img0006432_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0096_img0006433_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g56_m0096_img0006433_wpov.png
data\chessred2k_rect_pov\real_ok\g56_m0097_img0006434_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0099_img0006436_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g56_m0099_img0006436_wpov.png
data\chessred2k_rect_pov\real_ok\g56_m0100_img0006437_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0101_img0006438_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g56_m0103_img0006440_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0000_img0006850_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g61_m0000_img0006850_bpov.png
data\chessred2k_rect_pov\real_ok\g61_m0005_img0006855_bpov.png,keep,
